Email,Credits,Date,ID
pa@test.com,3,20/05/2023,1000000002
p@g.com,5,28/04/2023,1000000003
pa@test.com,3,20/05/2023,1000000002
p@g.com,0,28/04/2023,1000000001
pa@test.com,3,20/05/2023,1000000002
oht@wqa.com,5,28/05/2023,1000000004
oht@wqa.com,3,28/05/2023,1000000005
p@g.com,1,29/05/2023,1000000006
po@gtr.com,7,02/07/2023,1000000007
pa@test.com,3,20/05/2023,1000000002
oht@wqa.com,5,28/05/2023,1000000004
oht@wqa.com,3,28/05/2023,1000000005
p@g.com,1,29/05/2023,1000000006
po@gtr.com,4,02/07/2023,1000000008
tr@g.com,3,09/07/2023,1000000009
yy@y.y,6,09/07/2023,1000000010
p@g.com,3,10/07/2023,1000000011
pandeyrainy2020@gmail.com,0,10/07/2023,1000000012
